county,ass,asshole,bastard,bitch,bitched,bitchy,bloody,bullshit,cock,crap,crappy,cunt,damn,damnit,damned,darn,dick,dickhead,douche,douchebag,dumbass,dyke,fag,faggot,fatass,freaking,friggin,fuck,fucked,fucker,fuckery,fucking,goddamn,gosh,hell,hoe,homo,jackass,motherfucker,motherfucking,nigger,piss,pissed,pissy,pussy,shit,shittiest,shitty,slut,slutty,twat,whore
"massachusetts,suffolk",744313,56479,8852,728502,2459,4893,20113,100640,13204,43964,8483,21097,528132,7967,6516,7672,162012,3344,12343,4844,18048,2951,12245,14065,3713,54906,8090,1376797,176077,13720,5582,919086,20359,18810,273250,102361,5680,2828,12909,8729,4893,35432,82518,1303,113893,1604411,2901,49668,22351,4918,2533,19179
"massachusetts,worcester",908908,101305,10224,879372,5234,11319,12577,127879,15417,50998,8601,40490,608968,9818,10062,6816,193847,3408,26574,8804,24870,3854,28765,40287,4544,68808,11198,2027202,257057,23815,4017,1481362,19312,24464,353128,110109,9128,4422,13226,8276,4341,61100,170965,3449,137819,1953647,6897,100900,52458,6613,5639,39557
"michigan,alcona",813885,101736,20347,1159786,0,0,0,101736,0,20347,0,61041,773191,20347,20347,20347,264513,0,40694,0,0,0,0,20347,0,40694,0,1688811,203471,40694,0,1159786,0,61041,569719,20347,0,40694,0,0,20347,203471,183124,0,122083,1322563,0,122083,81388,0,0,101736
"michigan,alger",775323,136822,15202,349656,15202,15202,60810,91215,0,106417,45607,30405,456073,30405,0,15202,152024,0,45607,0,30405,0,15202,60810,0,152024,0,1094574,152024,0,0,1094574,0,60810,471275,152024,15202,30405,15202,0,0,152024,334453,30405,60810,1413825,0,152024,45607,15202,15202,15202
"michigan,allegan",751221,83024,14314,704842,7443,14887,14314,135701,8589,110507,20040,25766,715148,28056,11452,19468,151160,2863,44661,8589,31492,5153,19468,28056,4008,82451,5726,1394797,189523,23476,1718,911542,4581,107644,498142,78443,10879,8589,8589,4581,2290,86459,208418,13742,75008,1523627,5153,102491,52104,6298,5726,38935
"michigan,alpena",921676,76551,18372,936986,3062,18372,24496,150040,24496,52055,15310,101048,627719,30620,12248,15310,150040,0,45931,15310,42869,3062,33683,27558,3062,82675,12248,1635133,235778,27558,0,1001289,12248,64303,462369,85737,3062,18372,24496,3062,0,85737,177599,15310,137792,1791297,3062,140854,73489,12248,6124,21434
"michigan,antrim",536295,55479,15411,480817,6164,9246,33904,80136,15411,61643,15411,15411,520885,24657,6164,36986,147944,3082,43150,12329,9246,0,27739,12329,0,64725,6164,989373,135615,24657,0,662664,3082,89383,376023,70890,6164,6164,21575,0,0,92465,138697,15411,52397,1069509,6164,120204,40068,9246,3082,33904
"michigan,arenac",604147,56387,16111,491373,0,0,16111,64442,24166,96663,8055,16111,692755,32221,8055,8055,104719,0,16111,0,16111,0,40276,16111,8055,64442,0,1272736,169161,48332,0,684700,40276,144995,507483,40276,0,8055,0,8055,16111,72498,193327,16111,80553,1296902,8055,112774,72498,8055,48332,40276
"michigan,baraga",644566,139366,0,940717,17421,0,17421,139366,34841,52262,0,104524,679407,17421,34841,0,191628,0,0,0,17421,0,17421,0,0,69683,0,1254290,209048,17421,0,1097504,0,17421,522621,104524,0,17421,0,17421,17421,121945,121945,0,0,1985959,0,139366,34841,0,0,121945
"michigan,barry",815538,104270,21102,721199,4965,13654,13654,126613,14896,132820,14896,27309,788229,14896,9930,19861,135302,3724,52135,9930,16137,2483,26067,14896,2483,98063,1241,1495774,182472,39722,0,814297,19861,124131,530038,93098,6207,6207,21102,2483,7448,115441,264398,16137,95581,1715485,7448,131578,55859,9930,6207,45928
"michigan,bay",1460530,90421,16994,1254357,7054,9940,11543,158398,30140,84329,14750,32064,988543,23407,15391,15391,254911,1924,29499,9299,31102,2565,38798,47776,3527,84970,15070,2332360,298840,40080,6734,1492274,29499,60922,704133,175713,9619,8016,39760,10902,8337,94910,331545,13146,145251,2442661,6734,138197,57716,7375,5772,46173
"michigan,benzie",599446,58769,23508,534800,0,11754,11754,117539,11754,99908,11754,11754,470154,11754,11754,5877,188062,0,35262,0,11754,0,0,11754,0,88154,5877,1257662,176308,0,0,834523,35262,94031,358492,52892,0,17631,5877,17631,5877,88154,158677,5877,47015,1163631,5877,70523,47015,0,0,41138
"michigan,berrien",1292646,56376,13029,928581,8269,5763,13029,123026,14533,87697,13781,11526,792025,20295,10273,20045,140565,2506,18792,4260,22049,4260,24555,25808,2756,87446,5262,1428200,203205,20797,3758,690547,15785,76672,548479,193684,9521,3508,8770,3007,2255,64645,153344,7517,91705,2021029,6013,112252,40842,3257,3508,34828
"michigan,branch",943306,114389,16111,1060917,12083,16111,5639,165139,16111,81361,7250,44306,764472,28194,13694,21750,223945,2417,49139,11278,33833,4833,19333,29806,4028,106333,4833,2043695,258583,55583,2417,1276806,16111,59611,488167,140167,2417,10472,18528,8056,2417,108750,242472,18528,126472,1928500,7250,120028,80556,8861,6444,64444
"michigan,calhoun",1448933,79428,15264,1366961,3675,11589,9611,166771,16112,70666,5936,32789,945510,27136,9328,12437,243091,2261,34202,7349,30528,3109,29397,27418,2261,73775,1696,2307100,328172,34202,3392,1134894,17242,63882,555999,218499,6501,6501,15264,7632,4523,88191,283229,10741,178926,2665800,7067,120415,48618,3957,14133,42682
"michigan,cass",1300737,97815,9018,921268,3469,8325,11793,140826,29136,104753,10406,31218,898375,20812,15262,15262,246273,1387,28443,5550,45786,2775,40236,40236,5550,101284,1387,1952145,234479,30524,2775,953180,15262,74229,666671,196325,13875,2081,15262,3469,2081,91572,271247,2775,206730,2178994,7631,158170,58273,3469,6244,66598
"michigan,charlevoix",522255,91490,15248,564188,0,7624,30497,64805,15248,38121,11436,15248,560376,34309,0,30497,114362,0,19060,22872,7624,3812,34309,38121,0,76242,7624,1113127,80054,19060,0,789101,60993,167732,365960,19060,7624,3812,11436,0,0,76242,110550,7624,45745,998765,0,110550,57181,0,7624,34309
"michigan,cheboygan",581881,123090,3730,656481,0,7460,18650,130550,14920,63410,11190,18650,660211,26110,11190,29840,197690,0,44760,14920,18650,0,37300,14920,14920,115630,22380,1547953,152930,33570,7460,1085432,11190,70870,451331,67140,7460,0,14920,11190,3730,85790,190230,11190,78330,1450973,14920,193960,48490,14920,0,152930
"michigan,chippewa",722424,100159,23441,725621,3197,17048,11721,101225,19179,55407,21310,28769,768241,21310,3197,13852,173680,0,27704,8524,13852,2131,10655,33031,3197,60735,8524,2001051,226956,29835,4262,1347886,17048,49014,449650,111880,7459,2131,17048,5328,2131,77783,228022,10655,78849,1478945,10655,170484,70324,9590,4262,34097
"michigan,clare",740782,78142,6251,622007,12503,3126,15628,81267,25005,131278,18754,15628,684520,53136,18754,40634,193791,0,65639,15628,43759,0,56262,21880,9377,153158,15628,1212758,206294,21880,3126,822050,15628,81267,490729,78142,15628,12503,12503,3126,3126,87519,209420,12503,71890,1434680,12503,121901,12503,6251,9377,28131
"michigan,clinton",926820,86856,14566,762819,4855,5934,17263,118145,18342,86316,15645,15645,743398,25355,6474,14566,180725,2697,36145,9171,34526,6474,40461,52329,5395,76066,5395,1442559,218488,26974,1079,796267,14026,53408,565911,128935,13487,5934,9711,4855,4316,77145,265422,8632,133251,1863890,6474,105198,49632,7553,5395,32369
"michigan,crawford",717508,56832,7104,561219,21312,7104,21312,120769,14208,120769,14208,35520,703300,28416,14208,21312,71040,0,21312,14208,42624,0,28416,0,0,78144,0,1193478,163393,0,0,937733,21312,99457,497283,56832,35520,0,0,0,7104,134977,134977,14208,42624,1300039,21312,142081,85248,7104,7104,21312
"michigan,delta",560113,83366,7816,609612,2605,2605,18236,104207,18236,57314,5210,20841,481958,36472,5210,18236,117233,2605,31262,13026,23447,0,18236,23447,0,70340,7816,1505793,200599,39078,2605,1002993,13026,49498,385566,41683,7816,5210,10421,0,0,88576,257913,2605,91181,1401586,7816,125049,54709,5210,7816,59919
"michigan,dickinson",1236312,53219,20469,769624,0,8187,24562,114625,24562,49125,0,32750,499437,36844,28656,32750,253812,4094,36844,8187,36844,0,16375,32750,8187,28656,4094,1412343,151469,36844,8187,859687,16375,36844,413468,151469,8187,12281,12281,12281,16375,77781,159656,0,171937,1289530,12281,73687,32750,8187,4094,24562
